ISIN CODE;DATE;ABNORMAL_RETURN;PREDICTED_RETURN;RETURN_STOCK;RETURN_MARKET;t;Surpise_Category
AT0000KTMI02;22.01.2024;-0.004924331;0.006000178;0.001075847;0.011057605;-5;#NV
AT0000KTMI02;23.01.2024;0.007592108;-0.009744961;-0.002152853;-0.010158209;-4;#NV
AT0000KTMI02;24.01.2024;0.00257983;0.000647714;0.003227544;0.003845419;-3;#NV
AT0000KTMI02;25.01.2024;0.013192953;-0.001446956;0.011745997;0.001022953;-2;#NV
AT0000KTMI02;26.01.2024;-0.012839364;0.009649569;-0.003189795;0.015974983;-1;#NV
AT0000KTMI02;29.01.2024;0.000201916;-0.000201916;0;0.002700583;0;Negativ
AT0000KTMI02;30.01.2024;-0.011539644;-0.001322269;-0.012861914;0.001190961;1;#NV
AT0000KTMI02;31.01.2024;-0.00684918;-0.008368505;-0.015217685;-0.008303501;2;#NV
AT0000KTMI02;01.02.2024;0.004076592;-0.008467378;-0.004390786;-0.008436727;3;#NV
AT0000KTMI02;02.02.2024;0.001983082;-0.000883577;0.001099505;0.001782078;4;#NV
AT0000KTMI02;05.02.2024;0.035236782;0.000384901;0.035621683;0.003491291;5;#NV
AT0000KTMI02;06.02.2024;0.042340212;-0.003853923;0.038486289;-0.00222032;6;#NV
AT0000KTMI02;07.02.2024;0.016453381;-0.004282845;0.012170536;-0.002798272;7;#NV
AT0000KTMI02;08.02.2024;-0.024290091;-0.005379605;-0.029669695;-0.004276102;8;#NV
AT0000KTMI02;09.02.2024;0.042762294;-0.006060927;0.036701367;-0.005194151;9;#NV
AT0000KTMI02;12.02.2024;-0.023078459;0.003876252;-0.019202207;0.008195718;10;#NV
CH0000816824;18.02.2020;-0.012427623;-0.00468306;-0.017110684;-0.002477395;-10;#NV
CH0000816824;19.02.2020;0.00014745;0.010343824;0.010491274;0.010179932;-9;#NV
CH0000816824;20.02.2020;0.000762368;-0.011253642;-0.010491274;-0.008011876;-8;#NV
CH0000816824;21.02.2020;-0.012908955;-0.006452734;-0.019361689;-0.003968013;-7;#NV
CH0000816824;24.02.2020;-0.01234625;-0.044467217;-0.056813467;-0.035988073;-6;#NV
CH0000816824;25.02.2020;0.009281757;-0.025448993;-0.016167236;-0.019968793;-5;#NV
CH0000816824;26.02.2020;0.006037558;0.001296157;0.007333715;0.002558973;-4;#NV
CH0000816824;27.02.2020;0.001562392;-0.036076038;-0.034513646;-0.028920081;-3;#NV
CH0000816824;28.02.2020;0.013375677;-0.045211516;-0.031835839;-0.036615005;-2;#NV
CH0000816824;02.03.2020;-0.034456296;0.013034958;-0.021421338;0.012446707;-1;#NV
CH0000816824;03.03.2020;-0.027369184;0.017059815;-0.01030937;0.015836892;0;Negativ
CH0000816824;04.03.2020;-0.077473383;0.01573271;-0.061740673;0.014719056;1;#NV
CH0000816824;05.03.2020;-0.038186725;-0.014622527;-0.052809253;-0.010849529;2;#NV
CH0000816824;06.03.2020;0.014769956;-0.047581298;-0.032811342;-0.038611102;3;#NV
CH0000816824;09.03.2020;-0.019012861;-0.066604619;-0.08561748;-0.054634675;4;#NV
CH0000816824;10.03.2020;0.00031112;-0.003951459;-0.003640339;-0.001861158;5;#NV
CH0000816824;11.03.2020;0.005186664;-0.008840303;-0.003653639;-0.005979091;6;#NV
CH0000816824;12.03.2020;-0.002025255;-0.115117429;-0.117142684;-0.095497604;7;#NV
CH0000816824;13.03.2020;-0.037044773;0.007815134;-0.029229638;0.008049986;8;#NV
CH0000816824;16.03.2020;-0.001832963;-0.024789476;-0.02662244;-0.019413273;9;#NV
CH0000816824;17.03.2020;0.026511891;0.029340187;0.055852078;0.026180799;10;#NV
CH0000816824;16.02.2021;0.012204731;-0.001563638;0.010641094;-0.001637796;-10;#NV
CH0000816824;17.02.2021;-0.002488981;-0.011724457;-0.014213437;-0.009628859;-9;#NV
CH0000816824;18.02.2021;0.00992666;-0.008904687;0.001021972;-0.007411227;-8;#NV
CH0000816824;19.02.2021;0.03272439;0.001415472;0.034139862;0.000705151;-7;#NV
CH0000816824;22.02.2021;0.012317235;-0.000540847;0.011776387;-0.000833414;-6;#NV
CH0000816824;23.02.2021;-0.012602144;-0.013090969;-0.025693113;-0.010703565;-5;#NV
CH0000816824;24.02.2021;0.006427731;0.013394523;0.019822255;0.010126179;-4;#NV
CH0000816824;25.02.2021;-0.01014174;-0.006682012;-0.016823752;-0.005663185;-3;#NV
CH0000816824;26.02.2021;-0.003829376;-0.016332597;-0.020161973;-0.013252971;-2;#NV
CH0000816824;01.03.2021;0.019350876;0.022529621;0.041880497;0.017310556;-1;#NV
CH0000816824;02.03.2021;0.009671287;0.011585552;0.021256839;0.008703498;0;Positive
CH0000816824;03.03.2021;0.023822658;-0.003945052;0.019877607;-0.003510679;1;#NV
CH0000816824;04.03.2021;-0.028282516;-0.00216703;-0.030449546;-0.002112339;2;#NV
CH0000816824;05.03.2021;0.001921969;-0.014561904;-0.012639935;-0.011860394;3;#NV
CH0000816824;08.03.2021;0.020800342;0.025096815;0.045897157;0.019329547;4;#NV
CH0000816824;09.03.2021;-0.006086695;0.006086695;0;0.004378874;5;#NV
CH0000816824;10.03.2021;0.00970054;0.00606242;0.01576296;0.004359783;6;#NV
CH0000816824;11.03.2021;-0.005412431;-0.000122638;-0.005535069;-0.000504509;7;#NV
CH0000816824;12.03.2021;0.003699288;-0.004624786;-0.000925498;-0.004045262;8;#NV
CH0000816824;15.03.2021;-0.0196253;0.00469965;-0.01492565;0.003288021;9;#NV
CH0000816824;16.03.2021;0.002427695;0.009716312;0.012144007;0.007233418;10;#NV
CH0000816824;15.02.2022;0.001955968;0.014507646;0.016463613;0.012905635;-10;#NV
CH0000816824;16.02.2022;0.004110766;-0.000738082;0.003372684;0.00040063;-9;#NV
CH0000816824;17.02.2022;-0.008250535;-0.012158337;-0.020408872;-0.008966608;-8;#NV
CH0000816824;18.02.2022;0.001247834;-0.008144413;-0.006896579;-0.005674267;-7;#NV
CH0000816824;21.02.2022;-0.009588372;-0.01374991;-0.023338282;-0.010272064;-6;#NV
CH0000816824;22.02.2022;-0.0143012;0.005406982;-0.008894218;0.005440996;-5;#NV
CH0000816824;23.02.2022;0.002099263;-0.003291158;-0.001191895;-0.001693481;-4;#NV
CH0000816824;24.02.2022;-1.37E-05;-0.030869722;-0.030883472;-0.024314251;-3;#NV
CH0000816824;25.02.2022;-0.005324651;0.033820062;0.028495411;0.028746262;-2;#NV
CH0000816824;28.02.2022;-0.020113632;0.000191452;-0.01992218;0.001163061;-1;#NV
CH0000816824;01.03.2022;-0.018674013;-0.013546866;-0.032220879;-0.010105521;0;Positive
CH0000816824;02.03.2022;-0.008209774;-1.03E-05;-0.008220091;0.000997565;1;#NV
CH0000816824;03.03.2022;-0.047921825;-0.022432517;-0.070354342;-0.017393801;2;#NV
CH0000816824;04.03.2022;-0.015173683;-0.040863385;-0.056037068;-0.032511354;3;#NV
CH0000816824;07.03.2022;-0.013858056;-0.013160747;-0.027018803;-0.009788815;4;#NV
CH0000816824;08.03.2022;0.04277141;-0.017194568;0.025576842;-0.013097477;5;#NV
CH0000816824;09.03.2022;-0.013685661;0.048428609;0.034742948;0.040728632;6;#NV
CH0000816824;10.03.2022;0.009933709;-0.012725057;-0.002791349;-0.009431449;7;#NV
CH0000816824;11.03.2022;0.008768138;0.009237888;0.018006027;0.008583221;8;#NV
CH0000816824;14.03.2022;-0.007231613;0.015433983;0.00820237;0.013665445;9;#NV
CH0000816824;15.03.2022;-0.012442917;-0.001955686;-0.014398603;-0.000598086;10;#NV
CH0000816824;07.02.2023;-0.008991173;-0.00628926;-0.015280433;-0.004989719;-10;#NV
CH0000816824;08.02.2023;-0.005556597;0.002129001;-0.003427595;0.002685068;-9;#NV
CH0000816824;09.02.2023;0.008492829;-0.005065233;0.003427595;-0.003873794;-8;#NV
CH0000816824;10.02.2023;-0.003101798;-0.010679643;-0.013781441;-0.008992357;-7;#NV
CH0000816824;13.02.2023;-0.003002157;0.007329295;0.004327138;0.007426088;-6;#NV
CH0000816824;14.02.2023;0.001722774;0.001725505;0.003448279;0.002317208;-5;#NV
