ISIN CODE;DATE;ABNORMAL_RETURN;ABS_AR;PREDICTED_RETURN;RETURN_STOCK;RETURN_MARKET;t;Surpise_Category;# Estimates;Mean;Standard Deviation;Variationskoeffizient
CH0013841017;43851;0.065921179;0.065921179;0.006260217;0.072181396;0.004552936;0;Neutral;16;13.76426675;0.330971206;0.024045684
CH0013841017;44223;-0.013055944;0.013055944;-0.00442937;-0.017485314;-0.005568577;0;Negativ;18;14.26228259;0.984400162;0.069021221
CH0013841017;44587;-0.018509679;0.018509679;0.01553987;-0.002969809;0.01289147;0;Negativ;18;14.29976307;0.917495048;0.064161556
CH0013841017;44951;0.075073662;0.075073662;-0.00320309;0.071870571;-0.001732352;0;Neutral;13;15.74711428;0.571039996;0.036263152
CH0013841017;45317;0.1115766;0.1115766;0.022663427;0.134240026;0.015974983;0;Negativ;18;14.38602566;0.891135263;0.061944507
CH0014284498;43894;-0.057362308;0.057362308;0.015688376;-0.041673932;0.014719056;0;Neutral;6;17.32186934;0.987007408;0.056980421
CH0014284498;44251;0.062748301;0.062748301;0.009100993;0.071849294;0.010126179;0;Neutral;7;17.24811089;0.537050026;0.031136745
CH0014284498;44615;0.010853613;0.010853613;-0.002821156;0.008032457;-0.001693481;0;Neutral;9;22.86512889;0.905778405;0.039613965
CH0014284498;44979;-0.109592623;0.109592623;0.001338283;-0.108254339;0.001185611;0;Positive;9;34.21085077;2.754485805;0.080514975
CH0014284498;45342;-0.082201986;0.082201986;0.004255655;-0.077946332;0.003189197;0;Negativ;11;33.62001699;3.003546932;0.089338055
CH0014786500;44958;0.008282262;0.008282262;-0.005693025;0.002589238;-0.004823815;0;Neutral;5;8.467908038;0.120859136;0.014272608
CH0014786500;45322;0.0096488;0.0096488;-0.008038234;0.001610566;-0.008303501;0;Neutral;5;9.991816487;1.351319432;0.135242619
CH0014852781;43889;0.0055929;0.0055929;-0.036176323;-0.030583423;-0.036615005;0;Positive;11;38.80026282;1.276560655;0.032900825
CH0014852781;44257;-0.016143839;0.016143839;0.008209711;-0.007934128;0.008703498;0;Neutral;14;36.06436827;1.863531453;0.051672372
CH0014852781;44621;-0.004251648;0.004251648;-0.011278337;-0.015529985;-0.010105521;0;Positive;13;42.55933632;1.734690954;0.040759352
CH0014852781;44986;0.010166698;0.010166698;-0.004572278;0.00559442;-0.00266278;0;Positive;9;45.87428415;1.57540421;0.034341772
CH0014852781;45365;0.013357543;0.013357543;-0.007184684;0.006172859;-0.005680966;0;Negativ;9;41.76606322;4.857894496;0.116312004
CH0016440353;43868;-0.00554773;0.00554773;0.000847369;-0.004700361;-0.001378101;0;Neutral;7;23.67713158;0.283987576;0.011994171
CH0016440353;44239;-0.001655237;0.001655237;0.001655237;0;0.002407197;0;Neutral;7;19.42937513;0.389235164;0.020033334
CH0016440353;44603;-0.003294244;0.003294244;-0.004857975;-0.008152219;-0.006532815;0;Neutral;8;24.48177014;0.565484966;0.023098206
CH0016440353;44967;0.000170077;0.000170077;-0.006149168;-0.005979091;-0.008992357;0;Neutral;7;24.05416058;0.584736016;0.024309142
CH0016440353;45331;-0.020783298;0.020783298;-0.001958556;-0.022741854;-0.005194151;0;Positive;7;19.4205637;0.605029965;0.031154089
CH0018294154;43886;0.005080995;0.005080995;-0.006900832;-0.001819837;-0.019968793;0;Positive;9;5.007092795;0.696858219;0.139174217
CH0018294154;44250;0.005232499;0.005232499;-0.007331135;-0.002098637;-0.010703565;0;Positive;10;4.807122378;0.362034675;0.07531214
CH0018294154;44614;0.009920794;0.009920794;0.000388575;0.01030937;0.005440996;0;Negativ;12;7.236255858;3.296122456;0.455501093
CH0018294154;44978;-0.005610096;0.005610096;-0.0000879;-0.005698021;0.000312237;0;Neutral;10;5.23332722;0.384914585;0.073550644
CH0018294154;45349;0.019654104;0.019654104;-0.000329831;0.019324273;-0.001376807;0;Positive;10;5.593020695;0.548628325;0.098091596
CH0022268228;43887;0.012275485;0.012275485;0.001517837;0.013793322;0.002558973;0;Negativ;5;0.470581226;0.045951373;0.097648122
CH0022268228;44260;0.012179541;0.012179541;-0.009198912;0.002980628;-0.011860394;0;Positive;6;0.371750655;0.031680695;0.08522028
CH0022268228;44615;0.040467122;0.040467122;-0.00184163;0.038625491;-0.001693481;0;Negativ;6;0.689770768;0.091072685;0.132033263
CH0023405456;43902;-0.415055697;0.415055697;-0.116194049;-0.531249746;-0.095497604;0;Neutral;12;7.31238743;1.163576465;0.159124017
CH0023405456;44264;0.022609303;0.022609303;0.00957013;0.032179433;0.004378874;0;Negativ;11;-17.1018923;9.247804369;-0.540747433
CH0023405456;44628;0.063184002;0.063184002;-0.020390186;0.042793816;-0.013097477;0;Positive;7;-5.862428979;5.059865574;-0.863100533
CH0023405456;44992;0.031673244;0.031673244;-0.009597292;0.022075952;-0.007529537;0;Positive;9;1.301143257;0.829146668;0.637244718
CH0023405456;45358;0.002849155;0.002849155;0.004148774;0.006997929;0.004158784;0;Positive;11;2.153329462;0.536113546;0.248969587
CH0023868554;43886;0.137166524;0.137166524;-0.02226488;0.114901643;-0.019968793;0;Negativ;6;2.11709407;0.232853637;0.109987383
CH0023868554;44258;-0.01072633;0.01072633;-0.006466071;-0.017192401;-0.003510679;0;Negativ;5;-5.648677407;5.044403012;-0.893023738
CH0023868554;44621;0.037522639;0.037522639;-0.011836295;0.025686344;-0.010105521;0;Positive;5;2.570212071;0.943269533;0.367000663
CH0024608827;43907;-0.102170179;0.102170179;0.027417752;-0.074752427;0.026180799;0;Positive;16;32.90091737;0.533612719;0.016218779
CH0024608827;44271;0.017583;0.017583;0.010288744;0.027871744;0.007233418;0;Positive;16;27.77794581;0.850068484;0.03060228
