Name;ISIN CODE;INDUSTRY GROUP;YR_2015;YR_2016;YR_2017;YR_2018;YR_2019;YR_2020;YR_2021;YR_2022;YR_2023
CURATIS HOLDING AG ;CH1330780979;4970;01.04.2016;31.03.2017;16.04.2018;29.03.2019;28.05.2020;31.03.2021;31.03.2022;31.05.2023;28.02.2024
ADECCO GROUP ;CH0012138605;8580;09.03.2016;14.03.2017;01.03.2018;28.02.2019;26.02.2020;25.02.2021;24.02.2022;28.02.2023;29.02.2024
CLARIANT AG ;CH0012142631;2530;17.02.2016;16.02.2017;14.02.2018;13.02.2019;13.02.2020;11.02.2021;14.02.2022;02.03.2023;29.02.2024
MEIER T ;CH0208062627;3110;22.03.2016;21.03.2017;20.02.2018;21.02.2019;25.02.2020;04.03.2021;15.04.2022;15.02.2023;29.02.2024
BYSTRONIC ;CH0244017502;4992;22.03.2016;21.03.2017;20.03.2018;20.03.2019;17.03.2020;03.02.2021;04.02.2022;03.02.2023;29.02.2024
VZ HOLDING AG ;CH0528751586;4350;26.02.2016;06.03.2017;01.03.2018;01.03.2019;28.02.2020;05.03.2021;03.03.2022;02.03.2023;29.02.2024
KUEHNE UND NAG ;CH0025238863;7970;07.03.2016;01.03.2017;28.02.2018;27.02.2019;27.02.2020;03.03.2021;02.03.2022;01.03.2023;01.03.2024
SCHWEIZERISCHE ;CH0001319265;4320;24.03.2016;06.03.2017;05.03.2018;05.03.2019;19.03.2020;22.03.2021;07.03.2022;06.03.2023;04.03.2024
ARYZTA AG ;CH0043238366;4080;28.09.2015;26.09.2016;26.09.2017;01.10.2018;08.10.2019;06.10.2020;04.10.2021;03.10.2022;04.03.2024
HIAG IMMOBILIEN ;CH0239518779;4380;24.03.2016;22.03.2017;19.03.2018;19.03.2019;16.03.2020;15.03.2021;14.03.2022;13.03.2023;04.03.2024
FORBO HOLDING AG ;CH0003541510;7330;15.03.2016;07.03.2017;06.03.2018;05.03.2019;03.03.2020;04.03.2021;03.03.2022;17.01.2023;05.03.2024
CHOCO LINDT & SPRUEN ;CH0010570759;4640;08.03.2016;07.03.2017;06.03.2018;05.03.2019;03.03.2020;02.03.2021;08.03.2022;07.03.2023;05.03.2024
CHOCO LINDT & SPRUEN ;CH0010570767;4640;08.03.2016;07.03.2017;06.03.2018;05.03.2019;03.03.2020;02.03.2021;08.03.2022;07.03.2023;05.03.2024
INFICON HOLDING AG ;CH0011029946;4960;08.03.2016;14.03.2017;13.03.2018;23.01.2019;05.03.2020;04.03.2021;03.03.2022;13.01.2023;05.03.2024
ASCOM HOLDING AG ;CH0011339204;4010;10.03.2016;09.03.2017;01.03.2018;07.03.2019;06.03.2020;11.03.2021;08.03.2022;07.03.2023;05.03.2024
HUBER+SUHNER AG ;CH0030380734;5560;11.03.2016;14.03.2017;13.03.2018;19.03.2019;15.04.2020;19.03.2021;08.03.2022;07.03.2023;05.03.2024
BANQUE CANTON GENEVE ;CH0350494719;4310;15.03.2016;09.03.2017;07.03.2018;07.03.2019;25.02.2020;24.02.2021;22.02.2022;29.03.2023;05.03.2024
CICOR TECHNOLOGIES ;CH0008702190;4060;11.03.2016;09.03.2017;07.03.2018;14.03.2019;12.03.2020;11.03.2021;10.03.2022;02.03.2023;06.03.2024
LOX HOLDING AG ;CH0033361673;8592;21.03.2016;16.03.2017;14.03.2018;15.03.2019;15.04.2020;12.03.2021;10.03.2022;10.03.2023;06.03.2024
PLAZZA AG ;CH0284142913;4380;19.09.2016;01.06.2017;28.03.2018;22.03.2019;20.03.2020;03.03.2021;09.03.2022;08.03.2023;06.03.2024
AVOLTA AG ;CH0023405456;7091;16.03.2016;15.03.2017;15.03.2018;14.03.2019;12.03.2020;09.03.2021;08.03.2022;07.03.2023;07.03.2024
KARDEX HOLDING ;CH0100837282;8520;10.03.2016;08.03.2017;01.03.2018;04.03.2019;05.03.2020;04.03.2021;03.03.2022;02.03.2023;07.03.2024
SFS GROUP AG ;CH0239229302;1910;24.03.2016;22.03.2017;13.03.2018;08.03.2019;06.03.2020;05.03.2021;04.03.2022;03.03.2023;07.03.2024
BACHEM HOLDING ;CH1176493729;3440;11.03.2016;17.03.2017;16.03.2018;08.03.2019;15.04.2020;12.03.2021;18.03.2022;07.03.2023;07.03.2024
SCHWEITER TECH AG ;CH1248667003;4970;18.03.2016;13.03.2017;09.03.2018;11.03.2019;10.03.2020;05.03.2021;04.03.2022;06.03.2023;07.03.2024
ORELL FUESSLI HOLD ;CH0003420806;6450;22.03.2016;21.03.2017;20.03.2018;18.03.2019;16.03.2020;17.03.2021;30.03.2022;10.03.2023;08.03.2024
BVZ HOLDING AG ;CH0008207356;7930;24.03.2016;23.03.2017;13.04.2018;23.04.2019;17.03.2020;17.03.2021;16.03.2022;16.03.2023;08.03.2024
COLTENE HOLDING ;CH0025343259;3440;03.03.2016;02.03.2017;07.03.2018;19.02.2019;05.03.2020;28.01.2021;28.01.2022;03.03.2023;08.03.2024
MOBILEZONE HOLDING ;CH0276837694;4992;22.03.2016;21.03.2017;13.03.2018;13.03.2019;13.03.2020;09.04.2021;11.03.2022;10.03.2023;08.03.2024
FLUGHAFEN ZURICH AG ;CH0319416936;8580;11.03.2016;06.03.2017;02.03.2018;12.03.2019;10.03.2020;12.03.2021;08.03.2022;14.03.2023;08.03.2024
METALL ZUG AG ;CH0039821084;3720;24.03.2016;23.03.2017;22.03.2018;21.03.2019;19.03.2020;18.03.2021;15.03.2022;13.03.2023;11.03.2024
TECAN GROUP AG ;CH0012100191;8570;15.03.2016;15.03.2017;14.03.2018;11.03.2019;17.03.2020;16.03.2021;15.03.2022;14.03.2023;12.03.2024
BKW AG ;CH0130293662;8220;24.03.2016;22.03.2017;20.03.2018;19.03.2019;18.03.2020;16.03.2021;15.03.2022;14.03.2023;12.03.2024
MEDARTIS HOLDING AG ;CH0386200239;3440;09.03.2018;09.03.2018;09.03.2018;20.02.2019;03.03.2020;10.03.2021;07.03.2022;14.03.2023;12.03.2024
SENSIRION HOLDING AG ;CH0406705126;4050;NA;NA;20.06.2018;07.03.2019;10.03.2020;16.03.2021;14.03.2022;14.03.2023;12.03.2024
POLYPEPTIDE ;CH1110760852;3430;NA;NA;NA;15.03.2021;15.03.2021;15.03.2021;07.04.2022;14.03.2023;12.03.2024
VP BANK AG ;LI0315487269;4310;08.03.2016;10.03.2017;06.03.2018;05.03.2019;10.03.2020;09.03.2021;08.03.2022;21.04.2023;12.03.2024
BASELLAND KANTONALBK ;CH0001473559;4320;25.04.2016;01.06.2017;23.03.2018;22.03.2019;20.03.2020;25.03.2021;15.04.2022;15.03.2023;13.03.2024
