ISIN;Year;Reporting date;Actual;Estimates;Mean;Surprise; Surpise (%) ;Surpise_Category;Standard Deviation
CH1261338102;FY Dec-20;18.02.2021;9.42;3;15.841;-6.421;-0.41;Negativ;3.69143
CH1261338102;FY Dec-21;03.05.2022;32.49;3;29.164;3.326;0.11;Positive;0.58432
CH1261338102;FY Dec-22;20.04.2023;41.22;3;34.008;7.212;0.21;Positive;4.582
CH1261338102;FY Dec-23;15.02.2024;47.39;3;43.302;4.088;0.09;Positive;5.98174
CH1263676327;FY Dec-19;06.04.2020;1.362152804;1;1.727380024;-0.36522722;-0.21;Negativ;0
CH1263676327;FY Dec-20;22.04.2021;3.320247459;1;2.302038238;1.018209221;0.44;Positive;0
CH1263676327;FY Dec-21;11.04.2022;1.362152804;1;3.872345017;-2.510192213;-0.65;Negativ;0
CH1263676327;FY Dec-22;05.04.2023;1.958094655;2;2.704511824;-0.746417169;-0.28;Negativ;0.07044884
CH1263676327;FY Dec-23;23.04.2024;8.907202317;3;8.623416936;0.283785381;0.03;Neutral;1.557398253
CH1276028821;FY Dec-19;24.03.2020;-18.41034649;2;-19.04885561;0.638509127;0.03;Neutral;19.47452836
CH1276028821;FY Dec-20;16.02.2021;-54.06043939;2;-31.44125358;-22.61918581;-0.72;Negativ;0.367142748
CH1276028821;FY Dec-21;11.03.2022;-17.23974642;1;-9.471218712;-7.768527708;-0.82;Negativ;0
CH1276028821;FY Dec-22;27.04.2023;;;;0;#DIV/0!;#DIV/0!;
CH1276028821;FY Dec-23;25.04.2024;5.13999847;1;-6.502151273;11.64214974;1.79;Positive;0
CH1276062754;FY Dec-19;10.03.2020;;;;0;#DIV/0!;#DIV/0!;
CH1276062754;FY Dec-20;30.04.2021;-35.65009291;1;-24.8922783;-10.7578146;-0.43;Negativ;0
CH1276062754;FY Dec-21;31.01.2022;-14.89854629;2;-14.87566638;-0.02287991; -   ;Positive;1.041301967
CH1276062754;FY Dec-22;21.04.2023;-12.1848825;1;-6.385091267;-5.799791234;-0.91;Negativ;0
CH1276062754;FY Dec-23;15.05.2024;-4.837770816;1;-4.224802055;-0.612968762;-0.15;Negativ;0
CH1357065999;FY Dec-19;12.03.2020;-8.826856585;3;-3.384066446;-5.442790139;-1.61;Negativ;2.809440157
