EventFirm_ISIN,EventFirm_Name,EventDate,PeerFirm_ISIN,PeerFirm_Name,Peer_EventDate,Year,RBICS_PrimaryCode_shared,EventFirm_CAR_shortterm_ownEvent,Peer_CAR_shortterm_ownEvent,Peer_CAR_shortterm_relative_to_EventFirmEvent,SameInputRisk_Proxy,Notes
CH0319416936,FLUGHAFEN ZURICH AG ,2023-03-14,CH0126673539,DKSH HOLDING AG ,2023-02-09,2022,8580,"-0,0545307909014531","-0,00997582522625244",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2023-03-14,CH0404880129,ASMALLWORLD AG ,2023-03-16,2022,8580,"-0,0545307909014531","-0,0532390983866684",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2023-03-14,CH1256740924,SGS SA ,2023-01-26,2022,8580,"-0,0545307909014531","-0,0362721512423323",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2023-03-16,AT0000KTMI02,PIERER MOBILITY AG ,2023-03-28,2022,8580,"-0,0532390983866684","-0,0228132045673742",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2023-03-16,CH0012138605,ADECCO GROUP ,2023-02-28,2022,8580,"-0,0532390983866684","0,0277172254385186",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2023-03-16,CH0126673539,DKSH HOLDING AG ,2023-02-09,2022,8580,"-0,0532390983866684","-0,00997582522625244",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2023-03-16,CH0319416936,FLUGHAFEN ZURICH AG ,2023-03-14,2022,8580,"-0,0532390983866684","-0,0545307909014531",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2023-03-16,CH1256740924,SGS SA ,2023-01-26,2022,8580,"-0,0532390983866684","-0,0362721512423323",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2023-01-26,AT0000KTMI02,PIERER MOBILITY AG ,2023-03-28,2022,8580,"-0,0362721512423323","-0,0228132045673742",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2023-01-26,CH0012138605,ADECCO GROUP ,2023-02-28,2022,8580,"-0,0362721512423323","0,0277172254385186",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2023-01-26,CH0126673539,DKSH HOLDING AG ,2023-02-09,2022,8580,"-0,0362721512423323","-0,00997582522625244",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2023-01-26,CH0319416936,FLUGHAFEN ZURICH AG ,2023-03-14,2022,8580,"-0,0362721512423323","-0,0545307909014531",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
