"";"ISIN";"Reportdate";"Name";"Group";"Year";"Actual";"Estimate";"Mean";"Surprise";"SurpriseSD";"SurprisePercent";"SurpriseCategory";"CAPM_a";"CAPM_a_sd";"CAPM_a_p";"CAPM_beta";"CAPM_beta_sd";"CAPM_beta_p";"CAPM_BPtest_p";"CAPM_robust_a";"CAPM_robust_a_sd";"CAPM_robust_beta";"CAPM_robust_beta_sd";"CAR_shortterm";"CAR_middleterm";"BHAR_shortterm";"BHAR_middleterm"
"BP614";"CH0461929603";2024-04-23;"XLIFE SCIENCES AG ";8550;2023;2,213498306;1;-0,617225489;2,830723795;0;4,59;"Positive";0,00176650694239316;0,00218647360908061;0,420010389431661;0,255262175038741;0,365100273841737;0,485196199350964;0,225083365560485;-0,000252256819740946;0,00173970873001044;0,198311014109824;0,290498879608592;0,0135269274133155;-0,0698031861712324;0,0122177015673661;-0,0747538962761726
"BP615";"CH0466642201";2020-03-04;"HELVETIA HOLDING ";4370;2019;11,19519335;8;11,52309972;-0,327906362;0,713853204;-0,03;"Neutral";0,000144809056437888;0,000474570681462463;0,760551646855159;0,683014480544184;0,0764581096813687;1,72520029202239e-16;0,50781485428527;0,000110376773176986;0,000431108998093714;0,675378936262805;0,0694559953836535;-0,0756910270942762;-0,293087416722771;-0,0723589424016695;-0,275493855336817
"BP616";"CH0466642201";2021-03-25;"HELVETIA HOLDING ";4370;2020;5,065505738;6;5,003251098;0,06225464;0,880025204;0,01;"Neutral";-0,000134065130212186;0,0011862435442265;0,910120979061437;1,19198537529682;0,128446940049241;1,69995601567081e-17;0,0803661352804121;-0,000511978971591962;0,00112728405512606;1,20177347538985;0,122062782260837;0,0367881996625986;-0,0381937170342046;0,0373799204442564;-0,0394928839607929
"BP617";"CH0466642201";2022-03-24;"HELVETIA HOLDING ";4370;2021;9,758547819;6;9,550149082;0,208398737;0,734445123;0,02;"Neutral";6,50347724094769e-05;0,000727760668284503;0,92887521129328;0,844754220173005;0,101789098351021;1,07557722764553e-14;0,0127349021893751;0,000465984809187986;0,00060863029282453;0,751271825648421;0,0851267888408443;-0,00274278228473454;-0,00781605764309958;-0,00293611758094148;-0,0105118491371989
"BP618";"CH0466642201";2023-03-06;"HELVETIA HOLDING ";4370;2022;11,2803279;5;10,30170625;0,978621655;0,497036788;0,09;"Positive";0,000199104349862151;0,00068446038215636;0,771408883441542;0,808467523470379;0,0734541327600958;1,03236748740621e-22;0,00793573669431228;0,00046517518825216;0,00063325602969879;0,758200985389244;0,0679590429033772;0,0500165277314914;0,0390833928042188;0,0495623276224249;0,0351131712265533
"BP619";"CH0466642201";2024-04-11;"HELVETIA HOLDING ";4370;2023;5,682731227;5;6,441918579;-0,759187352;1,02177423;-0,12;"Negativ";-0,000175720355391874;0,000681777355830869;0,796850662933037;0,535382250072208;0,113625549191343;4,36220076046004e-06;0,594083191269006;0,000930948689538416;0,000510702351662039;0,596608954704332;0,085114054734468;-0,0206975602819524;0,0117110362669143;-0,0205851081175978;0,0114448091855628
"BP620";"CH0468525222";2021-01-21;"MEDACTA GROUP SA ";3440;2020;1,85;3;1,63167;0,21833;0,1631;0,13;"Positive";0,000938224031769018;0,00171238356724641;0,584314939430619;1,1583705354303;0,116559836524585;1,90081570627075e-19;0,62291070906411;0,001074182070294;0,00152532374721632;1,11872521308637;0,103826905386916;0,0417883749852494;0,00401680045891415;0,0429109514074848;0,000455723710603095
"BP621";"CH0468525222";2022-01-20;"MEDACTA GROUP SA ";3440;2021;2,58;3;3,005;-0,425;0,19028;-0,14;"Negativ";0,000260846046370914;0,00127973891579995;0,838677541277121;1,35724685558184;0,20152553244586;1,42382122027007e-10;0,881897595015789;0,000411179999038931;0,00120913154984367;1,2556267662832;0,190406712158955;-0,0294389626029092;0,00652750853445761;-0,0289294993043075;-0,00577096301957825
"BP622";"CH0468525222";2023-02-03;"MEDACTA GROUP SA ";3440;2022;2,31;4;2,906;-0,596;0,04988;-0,21;"Negativ";0,000434049149238782;0,00136199516531591;0,750268160346959;1,50080279678507;0,131374590843597;5,15810701125175e-24;0,737562138397197;-8,10052127383952e-05;0,00128147813713655;1,48601766934515;0,123608123015826;0,0380414303526706;0,0817880342091604;0,038218080497695;0,0754087720385196
"BP623";"CH0468525222";2024-02-02;"MEDACTA GROUP SA ";3440;2023;2,37;7;3,03943;-0,66943;0,25218;-0,22;"Negativ";0,00107988062364073;0,00108876160517364;0,322368692202854;1,34071258577024;0,169038808321199;1,10251007547727e-13;0,808629097901605;0,00107153174270417;0,00105653802371941;1,31429495985988;0,164035843684147;0,0124854517430732;-0,102247105504942;0,0115563902469614;-0,105535917920641
"BP624";"CH0478634105";2020-02-28;"AEVIS VICTORIA ";8592;2019;2,224140125;1;2,969067439;-0,744927314;0;-0,25;"Negativ";0,000424391695570563;0,000815067932508548;0,603113919392892;0,284196779438488;0,13142187188645;0,0316649313902285;0,101613724664553;0,000414531290068665;0,000648413572946029;0,26569862038136;0,104550457838378;-0,0476890680784334;-0,138406072281005;-0,0470911588363303;-0,14604820993112
"BP625";"CH0478634105";2021-03-02;"AEVIS VICTORIA ";8592;2020;-0,425672751;1;-0,276687288;-0,148985463;0;-0,54;"Negativ";0,000268459895057403;0,00143184377289965;0,851448138078382;0,112616533362024;0,12097499136843;0,352926429624531;0,027395756906939;-0,000195532653860759;0,00105839488523182;0,137393197567545;0,0894226832065723;0,0293712645754893;0,144311180785158;0,028940477761173;0,151792835024008
"BP626";"CH0478634105";2022-03-30;"AEVIS VICTORIA ";8592;2021;-0,053209094;1;-0,095776369;0,042567275;0;0,44;"Positive";0,000670192536337937;0,00127217966069729;0,598861140503715;0,279090281197146;0,174877339341344;0,111948607550843;0,267788780393854;-0,000145788012245793;0,000958824786737762;0,23528740586788;0,131802710560021;0,0374422904995751;-0,0261925607410397;0,0342024000410683;-0,0374693267535176
"BP627";"CH0478634105";2023-03-09;"AEVIS VICTORIA ";8592;2022;0,734285496;1;0,266045469;0,468240026;0;1,76;"Positive";0,000679584782831134;0,00174555441458661;0,697415401608674;0,19344743384402;0,187536995590139;0,303436665391344;0,905323983070348;0,000216361193259076;0,0011204715961787;0,156505685647438;0,120380020832067;0,0142310388081338;0,00754558275132313;0,0142237493996396;0,00420254537378018
"BP628";"CH0478634105";2024-03-21;"AEVIS VICTORIA ";8592;2023;-0,489523664;1;0,457598207;-0,947121871;0;-2,07;"Negativ";-0,000519934478914937;0,000853117184431413;0,542856247456507;0,0119054850811152;0,142481500464248;0,933484099962605;0,0537706779012889;0,000127577514765014;0,00064723517745422;0,00260521231316246;0,108096567411643;-0,0476132770804443;-0,0722433437590647;-0,0469569992588559;-0,0724796000608493
"BP629";"CH0496451508";2021-03-25;"SOFTWAREONE HOLD ";4030;2020;1,213167341;11;0,92090043;0,292266911;0,070480766;0,32;"Positive";0,0014444303643666;0,00144466139847375;0,318491357789755;1,10206944996365;0,156428531851111;2,37136817553449e-11;0,789005733126832;0,00186877669533038;0,00128589333063223;1,08897037777932;0,139237060006204;-0,204735124641548;-0,128319489986745;-0,204689020344859;-0,13040993848531
"BP630";"CH0496451508";2022-03-03;"SOFTWAREONE HOLD ";4030;2021;0,755569133;10;0,860071794;-0,10450266;0,142866417;-0,12;"Negativ";-0,00223926787056015;0,00133032139190617;0,0937510040698391;1,2039495675619;0,210334850791531;3,40108353122079e-08;0,867284722303833;-0,00177243402889926;0,0010108052403984;1,1940627804521;0,159816695959355;-0,246876259991454;0,115336695263877;-0,232085759736105;0,105034988641336
"BP631";"CH0496451508";2023-03-02;"SOFTWAREONE HOLD ";4030;2022;0,78749459;10;0,879971995;-0,092477405;0,069182464;-0,11;"Negativ";0,00157350232453929;0,00143162991556408;0,272931891361784;1,46180191102701;0,153058267276499;2,71686846239934e-18;0,877162767820761;0,00165291293937765;0,00132738005215186;1,57307479680774;0,141912716820885;-0,0880898700071918;-0,149175043448356;-0,0862653631541033;-0,151446359873396
"BP632";"CH0496451508";2024-02-15;"SOFTWAREONE HOLD ";4030;2023;0,744927314;11;0,821931515;-0,077004201;0,093424527;-0,09;"Negativ";0,000286744509476086;0,00127235415872054;0,821905244437118;0,771953654259782;0,198716148021742;0,000135722336207769;0,822203226892291;-0,000844262384407621;0,000750401156186571;0,663634994778527;0,11719757915391;-0,0193906635753773;-0,00487463083483227;-0,0194613424428296;-0,00563277628163872
"BP633";"CH0528751586";2020-02-28;"VZ HOLDING AG ";4350;2019;2,758359427;4;2,729892562;0,028466865;0,049250337;0,01;"Neutral";0,000475286615936725;0,000859279963588076;0,580744088251536;0,376755386499389;0,138550637051448;0,00706743027296104;0,0205032819161916;0,000483637876477488;0,000830617218996115;0,32709535109442;0,133929044914845;-0,0131107704493172;0,0207139278168497;-0,0139402811323694;-0,00436191301457312
"BP634";"CH0528751586";2021-03-05;"VZ HOLDING AG ";4350;2020;3,181903815;4;3,131355175;0,050548639;0,029743883;0,02;"Neutral";0,00125824022182482;0,0012491152251496;0,314899800264796;0,722265995455087;0,111911103957765;6,90840045147505e-10;0,214686530286534;0,000383530676342371;0,00105052318108627;0,666399126895958;0,0941187862909174;0,021918353415087;-0,036340893167915;0,0209917968611173;-0,0395230264969095
"BP635";"CH0528751586";2022-03-03;"VZ HOLDING AG ";4350;2021;3,852338398;2;3,724636572;0,127701825;0;0,03;"Neutral";0,000431386191012985;0,000811083251395899;0,595359126162124;0,663137078548416;0,128238992246394;5,24215867630575e-07;0,561921824633414;0,000391056607076805;0,000782064338923074;0,616534719464076;0,123650861391519;0,00176025703588799;-0,05652233769731;0,00132427173037797;-0,0624144113303744
"BP636";"CH0528751586";2023-03-02;"VZ HOLDING AG ";4350;2022;4,09710023;1;3,8874564;0,20964383;0;0,05;"Neutral";-0,000242623428721254;0,00082481418773748;0,76891787988582;0,806835663309174;0,0881824478712642;4,08012895761185e-17;0,33845880096932;-0,000111705212293984;0,000819150292585946;0,786852725803766;0,0875769101072757;0,0198149912664149;0,0449155362936187;0,0192888844536523;0,0431902148397094
"BP637";"CH0528751586";2024-02-29;"VZ HOLDING AG ";4350;2023;5,044222101;1;5,252801749;-0,208579648;0;-0,04;"Neutral";0,00128707410751809;0,000826803571753853;0,120988810699547;0,84774538251796;0,135079527801761;1,8381283456248e-09;0,516856855495807;0,00121077207075933;0,000798099005468123;0,732070387546467;0,130389902125126;-0,018263719396333;-0,0686109175312021;-0,0183627585943035;-0,0701146551327283
"BP638";"CH0530235594";2020-03-17;"VETROPACK AG ";8530;2019;3,918317674;4;3,697233889;0,221083785;0,11743247;0,06;"Positive";0,00116598507862848;0,00117987555841147;0,324131975484651;0,616439269045036;0,185153196344738;0,00102127312900351;0,167463084585819;0,000339247581163396;0,000984724091299221;0,573051007467046;0,154528849862092;0,109000696653529;0,0381039879482694;0,0780979512396829;0,0127433479935581
"BP639";"CH0530235594";2021-03-16;"VETROPACK AG ";8530;2020;4,363145699;4;3,586292928;0,776852771;0,188424043;0,22;"Positive";0,00079648114944863;0,00138770632517048;0,566587169750643;0,452421565485437;0,147286708909493;0,00239805857582687;0,348366596797904;0,000771288584407165;0,00128443959613283;0,502063468739226;0,136326308726886;0,015095236350026;-0,0757940613918176;0,0149032183978168;-0,0787070335320583
"BP640";"CH0530235594";2022-03-15;"VETROPACK AG ";8530;2021;3,426665647;4;3,592678019;-0,166012373;0,222275669;-0,05;"Neutral";-0,000782941339345894;0,000940742710032335;0,406169531454349;0,945853961658394;0,134056653407089;2,23079794310187e-11;0,339944161191757;-0,00102921559168125;0,000940850090052841;0,907667858022662;0,134071955153292;-0,0222480079399535;-0,0606805744579447;-0,0259067675303595;-0,0628643981724254
"BP641";"CH0530235594";2023-03-14;"VETROPACK AG ";8530;2022;2,181572849;2;0,585300033;1,596272817;0,446956389;2,73;"Positive";0,000613817559054578;0,00111532622696981;0,582641607277293;1,30031773905462;0,119683449380001;2,83743816539077e-22;0,820501878144759;0,000606943215386527;0,00101555033718021;1,27579064646487;0,108976696175227;-0,0224650354288978;-0,0638487365416817;-0,0218853883643938;-0,0697531844635075
